0,അ
1,ആ
2,ഇ
3,ഉ
4,ഋ
5,ഌ
6,എ
7,ഏ
8,ഒ
9,ൻ
10,ൡ
11,ക
12,ഖ
13,ഗ
14,ഘ
15,ങ
16,ക്ക
17,ൿ
18,ങ്ക
19,ള്ള
21,ച
22,ഛ
23,ജ
24,ഝ
25,ഞ
26,ച്ച
27,ത്ത
28,ട്ട
29,സ്സ
31,ട
32,ഠ
33,ഡ
34,ഢ
35,ണ
36,പ്പ
37,ദ്ധ
38,ദ്ദ
39,ന്ന
41,ത
42,ഥ
43,ദ
44,ധ
45,ന
46,ങ്ങ
47,ഞ്ഞ
48,മ്മ
49,ത്മ
51,പ
52,ഫ
53,ബ
54,ഭ
55,മ
56,ക്ഷ
57,ന്റ
58,ഗ്ഗ
59,ന്ത
61,യ
62,ര
63,റ
64,ല
65,ള
66,ഴ
67,വ
68,ശ
69,ഷ
71,സ
72,ഹ
73,ണ്ട
74,ന്മ
75,റ്റ്
76,ല്മ
77,ച്ഛ
78,ത്ഥ
79,ക്ത
81,ാ
82,ി
83,ീ
84,ു
85,ൂ
86,ൃ
87,ൄ
88,െ
89,േ
91,ൗ
92,്
93,ഺ
94,൴
101,ം
102,ഃ
